alphaOverTime
12
11
12
12
12
8
8
10
5
5
6
5
4
5
3
4
6
7
6
7
8
9
10
12
10
11
12
12
6
7
7
5
4
5
5
2
4
3
3
5
5
7
8
9
10
9
12
10
10
11
11
13
10
9
9
10
4
5
6
5
2
5
3
5
6
5
10
11
9
11
10
11
12
13
11
8
7
9
7
8
6
5
6
3
4
4
3
4
5
9
7
9
8
7
10
9
10
11
12
10
11
9
10
11
9
9
7
6
2
6
5
4
3
8
9
9
9
9
11
12
10
11
10
10
9
8
8
9
9
7
6
5
6
4
4
3
7
9
9
9
8
11
10
10
10
11
10
10
9
10
10
10
4
5
3
4
5
3
3
5
4
8
6
8
7
8
9
11
10
12
10
9
11
11
7
6
6
5
7
6
6
3
3
3
4
7
8
8
9
8
9
8
11
10
8
7
9
7
7
7
6
5
3
2
5
2
1
4
4
7
7
8
8
10
11
10
11
12
12
10
10
11
11
10
9
10
1
4
2
3
4
3
4
6
10
10
10
10
10
10
11
9
9
8
6
7
7
4
3
4
2
4
2
1
2
4
