0,0,0.11093,0.21459,0.18491,0.14954,0.25664,0.2295,0.097199,0.079227,0.068526,0.071508,0.20573,0.051271,0.092082
0,0,0.059539,0.065181,0.048413,0,0.039127,0.028818,0.070843,0,0,0.011376,0,0.12513,0
0.22643,0,0,0.19875,0.6027,0.41435,0.582,0.3732,0.30084,0.10816,0.11171,0.22539,0.16537,0.19583,0.27553
0.158,0.029608,0.49945,0,1.1102,0.83935,0.9149,0.82862,0.64069,0.21959,0.16911,0.31228,0.21972,0.38459,0.48303
0.17026,0.0689,0.44897,0.81685,0,0.94312,1.4157,0.9091,0.87616,0.28062,0.19775,0.65623,0.29931,0.39858,0.50187
0.27038,0.026957,0.38044,0.60761,1.1042,0,0.94649,0.80379,0.71198,0.26528,0.26405,0.41663,0.2292,0.5455,0.76103
0.16066,0.059162,0.65587,0.83855,1.6708,1.1364,0,1.1918,0.85594,0.30737,0.2586,0.53734,0.39695,0.34446,0.67092
0.16708,0.021906,0.5421,0.55755,1.3244,0.92224,1.106,0,0.63812,0.28981,0.26883,0.36445,0.25265,0.40819,0.51811
0.10255,0.015932,0.35012,0.57443,1.1458,0.63021,0.98092,0.66321,0,0.20283,0.20758,0.42125,0.24402,0.24558,0.45631
0.010782,0,0.20639,0.20681,0.52704,0.24975,0.30614,0.2695,0.14213,0,0.058392,0.30576,0.045407,0.15079,0.20598
0.16331,0,0.21022,0.20143,0.38477,0.50715,0.40891,0.35302,0.27209,0.12862,0,0.28746,0.1082,0.25562,0.28853
0.13378,0.014457,0.25637,0.41113,0.98487,0.50512,0.74028,0.40339,0.38895,0.19824,0.17723,0,0.10082,0.50566,0.4349
0.075852,0,0.1827,0.16302,0.33661,0.18703,0.25515,0.35991,0.22938,0.14016,0.1102,0.10543,0,0.11414,0.19615
0.078383,0.094257,0.10513,0.24406,0.46175,0.38024,0.47257,0.3134,0.18837,0.19994,0.1871,0.1697,0.16296,0,0.18358
0.089261,0.094257,0.15694,0.41914,0.70032,0.69762,0.68894,0.43356,0.37681,0.16176,0.23331,0.27332,0.17117,0.24713,0
