Source,Target,Weight,Type
56,62,1.071931e+00,directed
56,63,9.963922e-01,directed
56,66,1.086193e+00,directed
57,56,9.933493e-01,directed
60,3,1.036413e+00,directed
60,8,1.161762e+00,directed
60,18,1.051018e+00,directed
60,30,1.048550e+00,directed
60,37,1.070265e+00,directed
60,47,9.888664e-01,directed
60,55,1.012138e+00,directed
60,56,1.279064e+00,directed
62,30,1.048550e+00,directed
62,35,9.926141e-01,directed
62,47,9.888664e-01,directed
62,51,1.027202e+00,directed
62,55,1.012138e+00,directed
62,56,1.136206e+00,directed
62,66,1.086193e+00,directed
63,8,1.018904e+00,directed
63,18,9.917265e-01,directed
63,30,1.191407e+00,directed
63,33,9.920692e-01,directed
63,37,1.016344e+00,directed
63,47,1.131724e+00,directed
63,48,1.035132e+00,directed
63,56,1.136206e+00,directed
65,30,1.048550e+00,directed
65,33,9.866987e-01,directed
65,53,1.039339e+00,directed
65,63,9.963922e-01,directed
66,18,1.010515e+00,directed
66,33,1.124069e+00,directed
66,35,1.076180e+00,directed
66,41,1.003864e+00,directed
66,56,9.933493e-01,directed
