Id,Label,Entropy,OTE
2,2,3.058782,1.232492
5,5,3.443537,1.171245
9,9,3.109660,0.000000
11,11,3.291393,2.202971
12,12,3.304913,6.533594
13,13,3.334776,1.138156
17,17,2.891287,0.000000
20,20,3.411908,1.305795
21,21,3.114249,1.085847
23,23,3.364035,0.000000
26,26,3.335171,2.230251
27,27,3.730971,4.844848
30,30,3.630867,1.084311
31,31,3.327137,1.061654
32,32,3.142069,0.000000
35,35,2.872272,0.000000
36,36,3.691753,6.882250
38,38,3.367814,1.079190
46,46,3.407144,13.770697
47,47,3.257246,1.092952
50,50,3.144294,2.154628
51,51,3.141677,1.066797
52,52,3.803037,2.158144
53,53,3.586251,11.636042
54,54,3.690478,8.008988
55,55,3.525151,1.065580
60,60,3.336704,8.255242
61,61,3.427053,13.679475
62,62,3.118711,1.071490
63,63,3.085562,2.275136
66,66,3.277904,1.131949
