Source,Target,Weight,Type
2,3,7.803438e-01,directed
2,8,8.760473e-01,directed
2,13,1.099910e+00,directed
2,14,8.184027e-01,directed
2,18,9.499434e-01,directed
2,21,8.935554e-01,directed
2,22,9.323191e-01,directed
2,23,9.261274e-01,directed
2,26,7.912263e-01,directed
2,28,8.342878e-01,directed
2,30,1.191407e+00,directed
2,34,9.967585e-01,directed
2,35,9.926141e-01,directed
2,36,8.650737e-01,directed
2,37,8.734870e-01,directed
2,40,7.887571e-01,directed
2,41,8.313613e-01,directed
2,44,9.095070e-01,directed
2,45,9.420126e-01,directed
2,46,8.250533e-01,directed
2,47,8.756548e-01,directed
2,48,1.094423e+00,directed
2,50,8.033386e-01,directed
2,53,1.039339e+00,directed
2,54,1.095704e+00,directed
2,55,8.989259e-01,directed
2,56,9.933493e-01,directed
2,60,8.292600e-01,directed
2,62,7.862162e-01,directed
2,63,1.139249e+00,directed
2,64,8.680542e-01,directed
2,65,7.602754e-01,directed
2,66,1.086193e+00,directed
3,5,7.936451e-01,directed
3,8,1.018904e+00,directed
3,10,8.378721e-01,directed
3,13,9.570531e-01,directed
3,18,1.134584e+00,directed
3,20,8.413006e-01,directed
3,23,7.832703e-01,directed
3,26,8.033638e-01,directed
3,28,8.046423e-01,directed
3,30,1.334264e+00,directed
3,33,1.075635e+00,directed
3,34,9.253299e-01,directed
3,35,9.926141e-01,directed
3,36,9.782853e-01,directed
3,37,1.355979e+00,directed
3,39,9.930302e-01,directed
3,41,7.774408e-01,directed
3,42,8.496904e-01,directed
3,44,8.798615e-01,directed
3,45,7.991555e-01,directed
3,46,9.382649e-01,directed
3,47,1.131724e+00,directed
3,48,1.064778e+00,directed
3,50,9.461958e-01,directed
3,51,9.436355e-01,directed
3,52,8.426777e-01,directed
3,53,1.039339e+00,directed
3,54,1.095704e+00,directed
3,55,1.012138e+00,directed
3,56,1.136206e+00,directed
3,57,8.257346e-01,directed
3,60,9.721172e-01,directed
3,62,9.587189e-01,directed
3,63,9.963922e-01,directed
3,65,9.570531e-01,directed
3,66,1.086193e+00,directed
7,10,9.807293e-01,directed
7,28,8.882084e-01,directed
7,30,7.628357e-01,directed
7,45,1.001304e+00,directed
7,54,8.099893e-01,directed
8,2,8.087091e-01,directed
8,3,8.935554e-01,directed
8,9,7.682063e-01,directed
8,13,7.899210e-01,directed
8,14,9.073393e-01,directed
8,18,9.795890e-01,directed
8,23,8.129158e-01,directed
8,26,7.912263e-01,directed
8,28,8.046423e-01,directed
8,30,9.056929e-01,directed
8,34,9.792504e-01,directed
8,36,9.486397e-01,directed
8,37,9.570531e-01,directed
8,39,7.962525e-01,directed
8,45,9.002296e-01,directed
8,48,8.922752e-01,directed
8,51,1.140413e+00,directed
8,54,8.099893e-01,directed
8,55,8.571429e-01,directed
8,56,1.136206e+00,directed
8,60,8.292600e-01,directed
8,65,7.724129e-01,directed
8,66,1.032272e+00,directed
9,3,7.803438e-01,directed
9,8,1.018904e+00,directed
9,10,9.807293e-01,directed
9,13,9.570531e-01,directed
9,14,9.612598e-01,directed
9,18,1.104938e+00,directed
9,21,8.935554e-01,directed
9,23,7.832703e-01,directed
9,27,9.641864e-01,directed
9,28,8.046423e-01,directed
9,30,9.946295e-01,directed
9,33,9.920692e-01,directed
9,34,9.792504e-01,directed
9,35,9.629685e-01,directed
9,36,1.121142e+00,directed
9,37,1.070265e+00,directed
9,38,1.005487e+00,directed
9,39,9.930302e-01,directed
9,41,9.742184e-01,directed
9,42,8.200449e-01,directed
9,44,8.798615e-01,directed
9,46,1.081122e+00,directed
9,47,8.460093e-01,directed
9,48,9.933493e-01,directed
9,49,8.830836e-01,directed
9,50,9.461958e-01,directed
9,52,9.855348e-01,directed
9,53,8.964819e-01,directed
9,54,1.095704e+00,directed
9,55,1.012138e+00,directed
9,56,9.933493e-01,directed
9,58,7.720454e-01,directed
9,60,8.292600e-01,directed
9,63,9.963922e-01,directed
9,65,8.141960e-01,directed
9,66,9.433357e-01,directed
10,18,9.970970e-01,directed
10,35,8.183487e-01,directed
10,41,7.895783e-01,directed
10,47,8.460093e-01,directed
10,48,8.922752e-01,directed
10,49,7.681093e-01,directed
10,51,8.007783e-01,directed
10,53,7.832703e-01,directed
10,55,8.153598e-01,directed
11,3,8.935554e-01,directed
11,5,7.694864e-01,directed
11,9,7.682063e-01,directed
11,18,1.051018e+00,directed
11,23,8.425614e-01,directed
11,30,1.102471e+00,directed
11,31,8.338718e-01,directed
11,37,7.845504e-01,directed
11,42,7.782619e-01,directed
11,47,9.470834e-01,directed
11,50,9.461958e-01,directed
11,55,8.692804e-01,directed
11,56,9.933493e-01,directed
11,63,8.535350e-01,directed
11,66,9.433357e-01,directed
12,54,9.528464e-01,directed
12,63,7.996145e-01,directed
13,2,8.087091e-01,directed
13,3,8.935554e-01,directed
13,9,7.682063e-01,directed
13,14,9.612598e-01,directed
13,18,9.378059e-01,directed
13,28,8.046423e-01,directed
13,30,1.334264e+00,directed
13,33,7.656460e-01,directed
13,35,9.926141e-01,directed
13,36,8.354281e-01,directed
13,37,1.016344e+00,directed
13,46,8.250533e-01,directed
13,50,9.461958e-01,directed
13,51,8.007783e-01,directed
13,53,8.964819e-01,directed
13,54,1.095704e+00,directed
13,56,9.394288e-01,directed
13,60,8.292600e-01,directed
14,9,7.682063e-01,directed
14,13,8.141960e-01,directed
14,18,9.378059e-01,directed
14,21,8.935554e-01,directed
14,28,8.046423e-01,directed
14,30,1.048550e+00,directed
14,33,7.978518e-01,directed
14,35,7.958364e-01,directed
14,37,8.438415e-01,directed
14,47,1.131724e+00,directed
14,49,7.698720e-01,directed
14,51,8.843444e-01,directed
14,53,8.964819e-01,directed
14,55,7.857143e-01,directed
14,56,7.669261e-01,directed
14,63,7.996145e-01,directed
14,66,8.894152e-01,directed
17,13,8.438415e-01,directed
17,18,1.092801e+00,directed
17,30,7.682063e-01,directed
17,38,9.461958e-01,directed
17,39,8.229715e-01,directed
17,47,9.349459e-01,directed
17,49,1.025941e+00,directed
17,53,7.832703e-01,directed
17,54,8.099893e-01,directed
17,55,8.692804e-01,directed
18,10,7.839516e-01,directed
18,14,9.073393e-01,directed
18,28,8.342878e-01,directed
18,30,1.048550e+00,directed
18,35,1.004752e+00,directed
18,37,1.070265e+00,directed
18,45,9.123671e-01,directed
18,46,7.954078e-01,directed
18,47,8.042262e-01,directed
18,48,8.680002e-01,directed
18,53,8.129158e-01,directed
20,13,8.438415e-01,directed
20,18,8.488693e-01,directed
20,34,8.158424e-01,directed
20,47,7.920887e-01,directed
20,49,8.291631e-01,directed
20,51,9.139899e-01,directed
20,53,9.261274e-01,directed
20,54,8.099893e-01,directed
20,56,7.965716e-01,directed
21,2,9.515663e-01,directed
21,3,8.935554e-01,directed
21,5,9.068567e-01,directed
21,8,8.760473e-01,directed
21,9,7.682063e-01,directed
21,10,9.807293e-01,directed
21,14,1.104117e+00,directed
21,18,1.104938e+00,directed
21,22,7.894620e-01,directed
21,23,1.068985e+00,directed
21,28,9.474995e-01,directed
21,30,9.946295e-01,directed
21,33,1.188847e+00,directed
21,36,9.782853e-01,directed
21,37,1.213122e+00,directed
21,38,8.033386e-01,directed
21,39,8.501730e-01,directed
21,41,8.610068e-01,directed
21,42,8.200449e-01,directed
21,45,9.123671e-01,directed
21,46,9.382649e-01,directed
21,47,9.888664e-01,directed
21,48,9.219208e-01,directed
21,50,1.089053e+00,directed
21,51,1.027202e+00,directed
21,53,8.964819e-01,directed
21,54,8.099893e-01,directed
21,56,1.279064e+00,directed
21,57,7.960891e-01,directed
21,63,9.963922e-01,directed
21,65,8.141960e-01,directed
21,66,9.729812e-01,directed
22,18,8.245943e-01,directed
22,21,7.803438e-01,directed
22,30,9.946295e-01,directed
22,37,1.070265e+00,directed
22,46,7.954078e-01,directed
23,8,1.048550e+00,directed
23,14,7.644821e-01,directed
23,18,1.104938e+00,directed
23,21,8.935554e-01,directed
23,30,1.078196e+00,directed
23,33,9.206406e-01,directed
23,35,7.661909e-01,directed
23,36,8.354281e-01,directed
23,37,8.020585e-01,directed
23,39,1.135887e+00,directed
23,42,9.629020e-01,directed
23,45,7.991555e-01,directed
23,47,9.888664e-01,directed
23,48,9.812118e-01,directed
23,50,8.329841e-01,directed
23,51,8.546989e-01,directed
23,53,1.039339e+00,directed
23,54,8.099893e-01,directed
23,55,1.012138e+00,directed
23,56,9.933493e-01,directed
23,65,8.141960e-01,directed
25,18,7.774408e-01,directed
25,36,7.815076e-01,directed
25,50,7.912011e-01,directed
25,54,8.099893e-01,directed
25,55,8.989259e-01,directed
26,18,8.367318e-01,directed
27,18,9.620809e-01,directed
27,30,1.048550e+00,directed
27,35,7.661909e-01,directed
27,36,8.650737e-01,directed
27,37,9.570531e-01,directed
27,44,8.259409e-01,directed
27,47,9.053003e-01,directed
27,48,7.790636e-01,directed
27,50,8.329841e-01,directed
27,54,8.099893e-01,directed
27,55,8.692804e-01,directed
27,56,9.933493e-01,directed
27,63,7.996145e-01,directed
27,66,8.894152e-01,directed
28,2,8.383547e-01,directed
28,13,8.141960e-01,directed
28,14,8.184027e-01,directed
28,18,1.533510e+00,directed
28,22,7.894620e-01,directed
28,23,8.129158e-01,directed
28,26,8.626549e-01,directed
28,27,7.674087e-01,directed
28,30,1.221053e+00,directed
28,35,7.661909e-01,directed
28,36,1.121142e+00,directed
28,37,9.152701e-01,directed
28,45,9.123671e-01,directed
28,50,8.329841e-01,directed
28,53,8.964819e-01,directed
28,54,1.095704e+00,directed
28,55,8.989259e-01,directed
28,63,9.963922e-01,directed
28,65,8.141960e-01,directed
28,66,8.597696e-01,directed
30,2,8.087091e-01,directed
30,3,8.935554e-01,directed
30,13,7.602754e-01,directed
30,18,9.620809e-01,directed
30,33,7.656460e-01,directed
30,36,8.354281e-01,directed
30,39,7.666069e-01,directed
30,43,8.013772e-01,directed
30,45,7.991555e-01,directed
30,46,9.382649e-01,directed
30,50,8.033386e-01,directed
30,54,8.099893e-01,directed
30,56,8.504922e-01,directed
30,63,8.535350e-01,directed
30,66,8.543991e-01,directed
31,18,9.795890e-01,directed
31,30,8.639098e-01,directed
31,33,1.331704e+00,directed
31,34,7.753395e-01,directed
31,35,8.079739e-01,directed
31,36,8.772112e-01,directed
31,37,8.734870e-01,directed
31,41,8.906524e-01,directed
