Source,Target,Weight,Type
2,4,7.056642e-01,directed
2,5,7.490383e-01,directed
2,9,7.029767e-01,directed
2,11,9.006517e-01,directed
2,13,9.330535e-01,directed
2,14,7.242300e-01,directed
2,17,8.094473e-01,directed
2,20,6.776971e-01,directed
2,27,1.054721e+00,directed
2,30,1.027800e+00,directed
2,31,6.819613e-01,directed
2,32,9.747204e-01,directed
2,35,8.604594e-01,directed
2,36,9.361733e-01,directed
2,37,9.933643e-01,directed
2,38,7.295376e-01,directed
2,46,6.769087e-01,directed
2,47,7.688550e-01,directed
2,52,1.232492e+00,directed
2,53,8.604594e-01,directed
2,55,8.530974e-01,directed
2,56,7.289787e-01,directed
2,61,6.893233e-01,directed
2,66,1.003606e+00,directed
3,2,7.750804e-01,directed
3,9,7.533025e-01,directed
3,11,9.283208e-01,directed
3,14,9.090659e-01,directed
3,15,7.331967e-01,directed
3,17,6.835161e-01,directed
3,20,9.658256e-01,directed
3,21,7.369798e-01,directed
3,23,7.416323e-01,directed
3,26,8.655804e-01,directed
3,27,6.823897e-01,directed
3,30,7.888022e-01,directed
3,33,7.196252e-01,directed
3,36,8.191808e-01,directed
3,38,8.137399e-01,directed
3,46,7.599162e-01,directed
3,47,7.248450e-01,directed
3,49,6.838889e-01,directed
3,50,8.093852e-01,directed
3,52,8.098356e-01,directed
3,54,8.503258e-01,directed
3,61,6.943358e-01,directed
3,63,9.604248e-01,directed
4,20,8.890254e-01,directed
4,23,6.925013e-01,directed
4,26,8.542521e-01,directed
4,30,9.611330e-01,directed
4,35,8.370143e-01,directed
4,36,8.581783e-01,directed
4,38,9.018684e-01,directed
4,46,6.769087e-01,directed
4,53,8.604594e-01,directed
4,54,7.169925e-01,directed
4,61,7.446617e-01,directed
5,8,6.796182e-01,directed
5,11,9.006517e-01,directed
5,13,9.431871e-01,directed
5,20,7.369617e-01,directed
5,22,6.959004e-01,directed
5,26,1.171245e+00,directed
5,27,9.993822e-01,directed
5,30,8.944664e-01,directed
5,32,7.735256e-01,directed
5,38,7.295376e-01,directed
5,47,9.411858e-01,directed
5,51,6.936159e-01,directed
5,52,9.268281e-01,directed
5,53,7.271260e-01,directed
5,54,9.006517e-01,directed
5,56,9.403070e-01,directed
5,60,7.673183e-01,directed
5,61,7.949875e-01,directed
5,63,9.327556e-01,directed
8,13,7.567964e-01,directed
8,20,9.482900e-01,directed
8,22,7.867384e-01,directed
8,23,7.049159e-01,directed
8,30,8.352018e-01,directed
8,31,7.079853e-01,directed
8,32,9.243946e-01,directed
8,35,7.851738e-01,directed
8,36,8.078525e-01,directed
8,51,7.197704e-01,directed
8,52,7.268281e-01,directed
8,53,8.604594e-01,directed
8,54,7.673183e-01,directed
9,20,7.381565e-01,directed
9,30,8.391280e-01,directed
9,32,7.181873e-01,directed
9,38,7.194041e-01,directed
9,52,6.776971e-01,directed
9,53,7.271260e-01,directed
9,54,9.283208e-01,directed
9,63,7.666321e-01,directed
11,3,8.264925e-01,directed
11,5,8.270333e-01,directed
11,13,7.595279e-01,directed
11,14,8.010302e-01,directed
11,17,9.151115e-01,directed
11,20,8.539542e-01,directed
11,23,1.019627e+00,directed
11,26,1.037911e+00,directed
11,30,1.078126e+00,directed
11,31,8.656205e-01,directed
11,32,9.961823e-01,directed
11,35,8.315954e-01,directed
11,36,1.124845e+00,directed
11,37,8.600310e-01,directed
11,38,7.408659e-01,directed
11,46,8.102421e-01,directed
11,47,8.858475e-01,directed
11,51,7.992801e-01,directed
11,52,8.211640e-01,directed
11,53,8.604594e-01,directed
11,54,9.006517e-01,directed
11,55,7.977590e-01,directed
11,56,8.736403e-01,directed
11,61,7.949875e-01,directed
11,63,7.490965e-01,directed
11,66,8.312755e-01,directed
12,3,7.711541e-01,directed
12,5,7.213692e-01,directed
12,9,8.589667e-01,directed
12,11,8.339850e-01,directed
12,14,8.676969e-01,directed
12,17,1.048445e+00,directed
12,20,7.092925e-01,directed
12,23,1.074966e+00,directed
12,26,9.599162e-01,directed
12,27,7.603847e-01,directed
12,30,1.133464e+00,directed
12,31,1.081961e+00,directed
12,32,7.633921e-01,directed
12,35,7.536004e-01,directed
12,36,1.069507e+00,directed
12,37,8.990285e-01,directed
12,38,9.018684e-01,directed
12,40,6.920328e-01,directed
12,46,6.769087e-01,directed
12,47,9.915117e-01,directed
12,50,6.923927e-01,directed
12,52,8.991590e-01,directed
12,53,7.271260e-01,directed
12,55,1.064426e+00,directed
12,63,9.880940e-01,directed
12,66,1.109271e+00,directed
13,8,8.632774e-01,directed
13,11,9.006517e-01,directed
13,14,7.417657e-01,directed
13,20,9.482900e-01,directed
